name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,09/03/2016-12:30,1165942,864626,1,0
el01gw02,1A_ETH_1,09/03/2016-12:45,1027481,800535,0,0
el01gw02,1A_ETH_1,09/03/2016-13:00,1167832,815997,1,0
el01gw02,1A_ETH_1,09/03/2016-13:15,1092055,868703,1,0
el01gw02,1A_ETH_1,09/03/2016-13:30,1080880,826639,1,0
el01gw02,1A_ETH_1,09/03/2016-13:45,1093129,889717,1,0
el01gw02,1A_ETH_1,09/03/2016-14:00,1213247,919848,1,0
el01gw02,1A_ETH_1,09/03/2016-14:15,1186043,931354,1,0
el01gw02,1A_ETH_1,09/03/2016-14:30,1216499,921391,1,0
el01gw02,1A_ETH_1,09/03/2016-14:45,1111181,920341,1,0
el01gw02,1A_ETH_1,09/03/2016-15:00,1117952,872165,1,0
el01gw02,1A_ETH_1,09/03/2016-15:15,1130365,899938,1,0
el01gw02,1A_ETH_1,09/03/2016-15:30,1157138,798398,1,0
el01gw02,1A_ETH_1,09/03/2016-15:45,1090181,778755,1,0
el01gw02,1A_ETH_1,09/03/2016-16:00,1134257,837514,1,0
el01gw02,1A_ETH_1,09/03/2016-16:15,1166089,853230,1,0
el01gw02,1A_ETH_1,09/03/2016-16:30,1153209,815866,1,0
el01gw02,1A_ETH_1,09/03/2016-16:45,1208341,828729,1,0
el01gw02,1A_ETH_1,09/03/2016-17:00,1224253,886989,1,0
el01gw02,1A_ETH_1,09/03/2016-17:15,1223784,896509,1,0
el01gw02,1A_ETH_1,09/03/2016-17:30,1148481,887083,1,0
el01gw02,1A_ETH_1,09/03/2016-17:45,1216011,852668,1,0
el01gw02,1A_ETH_1,09/03/2016-18:00,1182033,876299,1,0
el01gw02,1A_ETH_1,09/03/2016-18:15,1250173,893054,1,0
el01gw02,1A_ETH_1,09/03/2016-18:30,1263443,952886,1,0
el01gw02,1A_ETH_1,09/03/2016-18:45,1318870,997830,1,0
el01gw02,1A_ETH_1,09/03/2016-19:00,1423460,1090630,1,1
el01gw02,1A_ETH_1,09/03/2016-19:15,1373389,1030120,1,0
